日期,生产时长(H),工序,故障缘由,类型,频次,处理时间（min）,解决方式,停机率
2月15日,8,DOM左涂胶,旋转气缸未复位,机械故障,1,1,复位处理,
2月15日,8,DOM左涂胶,夹具未紧固,机械故障,1,1,复位处理,
2月15日,8,DOM左涂胶,铆钉枪无法打铆,机械故障,4,2,清枪处理，后加油润滑后暂无问题,
2月15日,8,DOM右涂胶,铆钉位置4无法识别,机器故障,1,0.5,系传感器未处于感应位部,
2月15日,8,DOM右涂胶,铆钉枪拉力不足,机械故障,2,2,清枪处理，第三次无效后更换枪头处理,
2月15日,8,DOM右拉铆,M6螺杆断裂,机器故障,1,1.5,更换螺杆处理,
2月15日,8,DOM右拉铆,M10螺杆老化,机器故障,1,1,更换螺杆处理,
2月15日,8,DOM右拉铆,M10枪中轴断裂,机器故障,1,1.5,更换中轴处理,
2月15日,8,DOM右拉铆,M10右侧夹具4感应器未识别,机器故障,4,0.5,系10枪头磨损致使传感器无法感应，目前员工自行使传感器感应处理,
2月15日,8,DOM左拧紧,小件掉落,人员失误,2,1,员工操作不当致使小件在推进过程中掉，规范操作,
2月15日,8,DOM右拧紧,铆钉位2断气,人员失误,4,0.5,系员工因铆钉孔未对齐，自行顶齐致使铆钉位传感器误识别从而不上气,
2月15日,8,DOM右拧紧,铆钉孔未对齐,机械故障,3,0.5,松开小件贴紧气缸，手动上气打铆处理,
2月15日,8,DOM右拧紧,小件贴紧气缸复位报错,人员失误,1,5,后经观察系铆钉枪线卡入小件气缸轨道导致报错,
2月15日,8,NG报错,DOM右拉铆M8孔拉力过大,NG,1,1,系铆钉枪及人员操作多方原因导致，属于偶现故障,
2月15日,8,涂胶机器人,机器人未归位,机械故障,5,1,未复位位置均为左门槛涂胶位，复位处理,
2月17日,8,涂胶机器人,机器人未归位,机器故障,2,1,未复位位置均为左门槛涂胶位，复位处理,
2月17日,8,DOM左涂胶,传感器感应不良,机器故障,1,0.5,已解决,
2月17日,8,DOM左拉铆,M10铆钉位无感应,机器故障,1,0.5,原因未知，复位解决,
2月17日,8,DOM右拉铆,M10铆钉位无感应,机器故障,1,0.5,因传感器不灵敏导致，复位处理,
2月17日,8,DOM右拉铆,M6寿命到达报警,机器故障,1,0.5,重置寿命期限处理,
2月17日,8,DOM右拉铆,M10铆钉位无感应,机器故障,1,0.5,同昨日，系传感器不灵敏导致，暂由员工感应处理,
2月17日,8,DOM右拉铆,M10铆钉枪卡枪,机器故障,1,4,疑螺杆松动，拧紧处理,
2月17日,8,DOM右拉铆,M10铆钉枪马达轴断裂,机器故障,1,15,疑马达总成老化，疑昨日中轴断裂也系于此，换枪处理,
2月17日,8,DOM右拉铆,M10铆钉枪无法顺利拉铆,机器故障,1,1,反应迟钝，待观察,
