timestamp,username,action,details
2023-01-01 08:00:00,admin,系统初始化,系统初始配置完成 2025-03-17 23:34:04,admin,用户登录,用户 admin 登录成功
2025-03-17 23:42:02,admin,用户登出,用户 admin 登出系统
2025-03-17 23:42:08,admin,用户登录,用户 admin 登录成功
2025-03-17 23:42:18,admin,权限修改,管理员将用户 user1 的角色更改为 admin
2025-03-17 23:43:01,admin,用户登出,用户 admin 登出系统
2025-03-17 23:43:45,admin,用户登录,用户 admin 登录成功
2025-03-17 23:50:46,admin,用户登出,用户 admin 登出系统
2025-03-17 23:51:24,user1,用户登录,用户 user1 登录成功
2025-03-17 23:54:34,user1,创建文件夹,用户创建了文件夹 bb
2025-03-17 23:54:38,user1,文件预览,用户预览了文件 bb
2025-03-17 23:55:10,user1,文件上传,用户上传了文件 23.jpg
2025-03-17 23:55:13,user1,文件预览,用户预览了文件 23.jpg
2025-03-17 23:55:28,user1,文件上传,用户上传了文件 1_1.xlsx
2025-03-17 23:55:32,user1,文件预览,用户预览了文件 1_1.xlsx
2025-03-17 23:55:39,user1,文件下载,用户下载了文件 1_1.xlsx
2025-03-17 23:56:11,user1,用户登出,用户 user1 登出系统
2025-03-17 23:56:34,user1,用户登录,用户 user1 登录成功
2025-03-17 23:56:45,user1,权限修改,管理员将用户 user1 的角色更改为 user
2025-03-18 21:26:10,admin,用户登录,用户 admin 登录成功
2025-03-18 22:47:18,admin,用户登录,用户 admin 登录成功
2025-03-18 23:57:42,admin,用户登录,用户 admin 登录成功
2025-03-19 00:02:01,admin,用户登录,用户 admin 登录成功
2025-03-19 07:37:21,admin,用户登录,用户 admin 登录成功
2025-03-19 13:55:58,admin,用户登录,用户 admin 登录成功
2025-03-19 13:59:59,admin,用户登出,用户 admin 登出系统
2025-03-19 14:00:02,admin,用户登录,用户 admin 登录成功
2025-03-19 14:17:05,admin,用户登出,用户 admin 登出系统
2025-03-19 14:30:58,admin,用户登录,用户 admin 登录成功
2025-03-19 21:18:01,admin,用户登录,用户 admin 登录成功
2025-03-19 21:19:29,admin,用户登出,用户 admin 登出系统
2025-03-19 21:22:59,admin,用户登录,用户 admin 登录成功
2025-03-19 22:42:48,admin,文件预览,用户预览了文件 1_1.xlsx
2025-03-19 22:43:01,admin,文件下载,用户下载了文件 1_1.xlsx
2025-03-19 22:43:06,admin,删除文件,用户删除了文件 1_1.xlsx
2025-03-19 22:43:11,admin,删除文件夹,用户删除了文件夹 bb
2025-03-19 22:43:16,admin,删除文件,用户删除了文件 23.jpg
2025-03-19 22:49:39,admin,删除用户,管理员删除了用户 user1
2025-03-19 22:49:43,admin,删除用户,管理员删除了用户 user2
2025-03-19 22:55:14,admin,添加用户,管理员添加了新用户 03964
2025-03-20 20:48:00,03964,用户登录,用户 03964 登录成功
2025-03-20 20:48:01,03964,用户登出,用户 03964 登出系统
2025-03-20 20:48:05,admin,用户登录,用户 admin 登录成功
2025-03-20 21:04:19,admin,文件预览,用户预览了文件 新建文本文档.txt
2025-03-20 21:04:35,admin,文件预览,用户预览了文件 新建文本文档.txt
2025-03-20 21:04:50,admin,删除文件,用户删除了文件 新建文本文档.txt
2025-03-20 22:32:33,admin,用户登录,用户 admin 登录成功
2025-03-20 22:40:09,admin,权限修改,管理员将用户 admin 的角色更改为 user
2025-03-20 22:40:13,admin,权限修改,管理员将用户 admin 的角色更改为 admin
2025-03-20 22:40:34,admin,导出用户,管理员导出了用户列表
2025-03-21 07:48:55,admin,用户登录,用户 admin 登录成功
2025-03-21 07:59:55,admin,文件预览,用户预览了文件 焊接转台的校准.pptx
2025-03-21 08:01:01,admin,用户登录,用户 admin 登录成功
2025-03-21 08:07:29,admin,用户登录,用户 admin 登录成功
2025-03-21 08:16:35,admin,用户登录,用户 admin 登录成功
2025-03-21 11:44:28,03964,用户登录,用户 03964 登录成功
2025-03-21 11:58:16,03964,用户登录,用户 03964 登录成功
2025-03-21 12:19:14,admin,用户登录,用户 admin 登录成功
